Food Name,Carotene(µg),Thiamine(mg),Riboflavin(mg),Niacin(mg),Folicacid(mg),Folicfree(mg),Vitamin-C(mg),Choline-(mg)
COW PEA PODS,564,0.1,0.1,0.9,0.0,0.0,14.0,0.0
CUCUMBER,0,0.0,0.0,0.2,14.7,12.6,7.0,0.0
DOUBLE BEANS,0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
DRUM STICK,110,0.1,0.1,0.2,0.0,0.0,120.0,0.0
DRUMSTICK flowers,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"FIELD BEANS, tender",187,0.1,0.1,0.7,0.0,0.0,9.0,4.0
"FIGS, red (Ficus cunia)",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRENCH BEANS,132,0.1,0.1,0.3,45.5,15.5,24.0,0.0
GHOSALA,120,0.0,0.1,0.4,0.0,0.0,0.0,0.0
GIANT CHILLIES (capsicum),427,0.6,0.1,0.1,0.0,0.0,137.0,0.0
"JACK, tender",0,0.1,0.0,0.2,0.0,0.0,14.0,0.0
"JACK, fruit seed",0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
KANKODA,1620,0.1,0.2,0.6,0.0,0.0,0.0,0.0
KARONDA fresh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KARONDA dry,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHEKSA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOVAI,156,0.1,0.1,0.7,59.0,18.0,15.0,0.0
KNOL-KHOL,21,0.1,0.1,0.5,0.0,0.0,85.0,0.0
LADIES FINGERS,52,0.1,0.1,0.6,105.4,25.3,13.0,0.0
"LAKUCH, raw",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEEKS,18,0.2,0.0,0.0,0.0,0.0,11.0,0.0
"LOTUS STEM, dry",0,0.8,1.2,1.9,0.0,0.0,3.0,0.0
MANGO GREEN,90,0.0,0.0,0.2,0.0,0.0,3.0,0.0
ONION STALKS,195,0.0,0.0,0.3,0.0,0.0,17.0,0.0
PAPAYA GREEN,0,0.0,0.0,0.1,0.0,0.0,12.0,0.0
PARWAR,153,0.1,0.1,0.5,0.0,0.0,29.0,0.0
PINK BEANS,453,0.1,0.0,0.6,0.0,0.0,12.0,0.0
PLANTAIN FLOWER,27,0.1,0.0,0.4,0.0,0.0,16.0,0.0
"PLANTAIN, green",30,0.1,0.0,0.3,16.4,1.6,24.0,0.0
